"Step","run0-tac,prop,mobile,random_reward_rank2 - col rate other","run0-tac,prop,mobile,random_reward_rank2 - col rate self","run0-tac,prop,mobile,random_reward_rank0 - col rate other","run0-tac,prop,mobile,random_reward_rank0 - col rate self","run0-tac,prop,mobile,random_reward_rank1 - col rate other","run0-tac,prop,mobile,random_reward_rank1 - col rate self","run0-tac,prop,mobile,random_reward_rank3 - col rate other","run0-tac,prop,mobile,random_reward_rank3 - col rate self","run0-tac,prop,mobile,random_reward_rank9 - col rate other","run0-tac,prop,mobile,random_reward_rank9 - col rate self","run0-tac,prop,mobile,random_reward_rank4 - col rate other","run0-tac,prop,mobile,random_reward_rank4 - col rate self","run0-tac,prop,mobile,random_reward_rank6 - col rate other","run0-tac,prop,mobile,random_reward_rank6 - col rate self","run0-tac,prop,mobile,random_reward_rank7 - col rate other","run0-tac,prop,mobile,random_reward_rank7 - col rate self","run0-tac,prop,mobile,random_reward_rank8 - col rate other","run0-tac,prop,mobile,random_reward_rank8 - col rate self"
"5000","0.0744","0","0.013","0.06","0.0064","0.0708","0","0.2606","0.1186","0.025","0.2738","0.0704","0.0058","0","0.0026","0.0002","0.0128","0"
"10000","0.0641","0","0.0092","0.0454","0.008","0.0707","0.0078","0.2917","0.1184","0.0431","0.216","0.0357","0.0053","0.0098","0.0043","0.0173","0.066","0"
"15000","0.053533333333333336","0","0.0154","0.0522","0.006266666666666667","0.07033333333333333","0.007533333333333334","0.26426666666666665","0.11653333333333334","0.057666666666666665","0.21893333333333334","0.0318","0.0036666666666666666","0.006533333333333334","0.011","0.011533333333333333","0.06633333333333333","0.0030666666666666668"
"20000","0.04955","0","0.01725","0.04685","0.0062","0.06035","0.0065","0.25525","0.1255","0.072","0.2225","0.0279","0.01405","0.0049","0.01005","0.00865","0.0518","0.00325"
"25000","0.061","0","0.01524","0.04476","0.0148","0.0498","0.01836","0.30092","0.12684","0.06196","0.21672","0.0244","0.01148","0.00392","0.00852","0.0162","0.04348","0.0026"
"30000","0.06596666666666667","0","0.013666666666666667","0.047766666666666666","0.018366666666666667","0.0528","0.04056666666666667","0.3119","0.13733333333333334","0.06043333333333333","0.20416666666666666","0.0289","0.009566666666666666","0.011066666666666667","0.0074333333333333335","0.019233333333333335","0.0484","0.0021666666666666666"
"35000","0.06105714285714286","0","0.012428571428571428","0.05117142857142857","0.0282","0.05045714285714286","0.04202857142857143","0.2992","0.14094285714285715","0.058","0.19774285714285714","0.02605714285714286","0.0082","0.021114285714285714","0.006371428571428571","0.025","0.05122857142857143","0.0018571428571428571"
"40000","0.057025","0","0.012525","0.053875","0.030675","0.047825","0.050425","0.282875","0.158675","0.05095","0.19395","0.022825","0.00765","0.0266","0.005575","0.022625","0.048575","0.0019"
"45000","0.05324444444444444","0","0.014555555555555556","0.05388888888888889","0.03782222222222222","0.04251111111111111","0.07157777777777778","0.2836444444444444","0.15895555555555554","0.046511111111111114","0.19082222222222223","0.02097777777777778","0.0068","0.030844444444444445","0.005066666666666666","0.020133333333333333","0.04488888888888889","0.0016888888888888889"
"50000","0.05226","0","0.01824","0.05264","0.03852","0.03826","0.08486","0.30184","0.15784","0.04186","0.19126","0.01894","0.00612","0.03236","0.00546","0.0184","0.04066","0.00374"
"55000","0.05014545454545455","0","0.018963636363636363","0.050254545454545455","0.038836363636363634","0.034781818181818185","0.09396363636363636","0.31881818181818183","0.15790909090909092","0.040072727272727274","0.19058181818181819","0.01730909090909091","0.0055636363636363635","0.04061818181818182","0.0078","0.0168","0.03707272727272727","0.0108"
"60000","0.04661666666666667","0","0.0208","0.0499","0.036816666666666664","0.03188333333333333","0.1182","0.32831666666666665","0.1544","0.03673333333333333","0.18911666666666666","0.01835","0.0051","0.038566666666666666","0.007833333333333333","0.016466666666666668","0.034166666666666665","0.0112"
"65000","0.043984615384615386","0","0.02593846153846154","0.05016923076923077","0.03789230769230769","0.02943076923076923","0.1277230769230769","0.33429230769230767","0.14284615384615384","0.033907692307692305","0.18956923076923077","0.020846153846153848","0.004707692307692308","0.04804615384615385","0.007553846153846154","0.016353846153846153","0.031538461538461536","0.014876923076923078"
"70000","0.04102857142857143","0","0.032471428571428575","0.054657142857142856","0.03931428571428571","0.027328571428571428","0.14937142857142857","0.3403","0.1336857142857143","0.031485714285714284","0.18947142857142857","0.019857142857142858","0.004385714285714285","0.05602857142857143","0.009328571428571429","0.01732857142857143","0.02932857142857143","0.015057142857142857"
"75000","0.03833333333333333","0","0.03477333333333334","0.05325333333333333","0.038253333333333334","0.025506666666666667","0.17046666666666666","0.33682666666666666","0.12702666666666668","0.029386666666666665","0.19026666666666667","0.018746666666666665","0.004533333333333334","0.058","0.00976","0.01896","0.027373333333333333","0.014173333333333333"
"80000","0.0359375","0","0.035425","0.0512375","0.0382125","0.0239125","0.1917","0.33055","0.1214125","0.02755","0.1866875","0.0175875","0.0065","0.0671","0.0095125","0.0182","0.02575","0.0161875"
"85000","0.03383529411764706","0","0.03968235294117647","0.0522","0.039211764705882356","0.022505882352941178","0.2116235294117647","0.3250588235294118","0.11941176470588236","0.02592941176470588","0.18625882352941175","0.019823529411764705","0.008141176470588235","0.0724","0.01191764705882353","0.018929411764705882","0.025270588235294118","0.02115294117647059"
"90000","0.031955555555555556","0","0.04697777777777778","0.0569","0.04134444444444445","0.021255555555555555","0.23306666666666667","0.32454444444444447","0.12035555555555555","0.02448888888888889","0.183","0.018966666666666666","0.012522222222222223","0.08511111111111111","0.017888888888888888","0.020411111111111113","0.023866666666666668","0.02328888888888889"
"95000","0.030273684210526317","0","0.050494736842105266","0.06467368421052631","0.044589473684210526","0.020136842105263158","0.24634736842105262","0.33329473684210525","0.11990526315789474","0.0232","0.18272631578947368","0.0192","0.01331578947368421","0.08887368421052631","0.02277894736842105","0.022989473684210525","0.022978947368421054","0.023105263157894736"
"100000","0.02883","0.00088","0.05058","0.0668","0.04507","0.01913","0.25647","0.33963","0.11861","0.02204","0.18046","0.0183","0.01382","0.08931","0.0268","0.02493","0.02232","0.02289"
"105000","0.027485714285714287","0.000838095238095238","0.054895238095238094","0.06799047619047618","0.0479047619047619","0.018219047619047617","0.2717809523809524","0.33753333333333335","0.1178952380952381","0.02099047619047619","0.1754190476190476","0.01901904761904762","0.014352380952380952","0.08896190476190476","0.032285714285714286","0.02396190476190476","0.02139047619047619","0.023676190476190476"
