,Rank,Episode,ep_len,Alpha,rolling mean
0,1,0,201,0.05,201.0
1,1,10,127,0.05,164.0
2,1,20,117,0.05,148.33333333333334
3,1,30,64,0.05,127.25
4,1,40,31,0.05,108.0
5,1,50,27,0.05,94.5
6,1,60,25,0.05,84.57142857142857
7,1,70,24,0.05,77.0
8,1,80,23,0.05,71.0
9,1,90,23,0.05,66.2
10,1,100,23,0.05,62.27272727272727
11,1,110,20,0.05,58.75
12,1,120,21,0.05,55.84615384615385
13,1,130,21,0.05,53.357142857142854
14,1,140,18,0.05,51.0
15,1,150,19,0.05,38.86666666666667
16,1,160,20,0.05,31.733333333333334
17,1,170,17,0.05,25.066666666666666
18,1,180,17,0.05,21.933333333333334
19,1,190,58,0.05,23.733333333333334
20,1,200,16,0.05,23.0
21,1,210,22,0.05,22.8
22,1,220,19,0.05,22.466666666666665
23,1,230,19,0.05,22.2
24,1,240,17,0.05,21.8
25,1,250,17,0.05,21.4
26,1,260,19,0.05,21.333333333333332
27,1,270,16,0.05,21.0
28,1,280,18,0.05,20.8
29,1,290,17,0.05,20.733333333333334
30,1,300,20,0.05,20.8
31,1,310,19,0.05,20.733333333333334
32,1,320,201,0.05,33.0
33,1,330,19,0.05,33.13333333333333
34,1,340,16,0.05,30.333333333333332
35,1,350,18,0.05,30.466666666666665
36,1,360,201,0.05,42.4
37,1,370,16,0.05,42.2
38,1,380,16,0.05,42.0
39,1,390,18,0.05,42.06666666666667
40,1,400,18,0.05,42.13333333333333
41,1,410,16,0.05,41.93333333333333
42,1,420,18,0.05,42.06666666666667
43,1,430,16,0.05,41.93333333333333
44,1,440,20,0.05,42.13333333333333
45,1,450,16,0.05,41.86666666666667
46,1,460,21,0.05,42.0
47,1,470,15,0.05,29.6
48,1,480,35,0.05,30.666666666666668
49,1,490,19,0.05,30.866666666666667
50,1,500,18,0.05,30.866666666666667
51,1,510,17,0.05,18.6
52,1,520,16,0.05,18.6
53,1,530,17,0.05,18.666666666666668
54,1,540,16,0.05,18.533333333333335
55,1,550,17,0.05,18.466666666666665
56,1,560,17,0.05,18.533333333333335
57,1,570,14,0.05,18.266666666666666
58,1,580,16,0.05,18.266666666666666
59,1,590,18,0.05,18.133333333333333
60,1,600,17,0.05,18.2
61,1,610,19,0.05,18.066666666666666
62,1,620,15,0.05,18.066666666666666
63,1,630,17,0.05,16.866666666666667
64,1,640,17,0.05,16.733333333333334
65,1,650,19,0.05,16.8
66,1,660,18,0.05,16.866666666666667
67,1,670,19,0.05,17.066666666666666
68,1,680,20,0.05,17.266666666666666
69,1,690,18,0.05,17.4
70,1,700,17,0.05,17.4
71,1,710,18,0.05,17.466666666666665
72,1,720,19,0.05,17.8
73,1,730,18,0.05,17.933333333333334
74,1,740,15,0.05,17.733333333333334
75,1,750,16,0.05,17.666666666666668
76,1,760,19,0.05,17.666666666666668
77,1,770,16,0.05,17.733333333333334
78,1,780,18,0.05,17.8
79,1,790,16,0.05,17.733333333333334
80,1,800,17,0.05,17.6
81,1,810,15,0.05,17.4
82,1,820,18,0.05,17.333333333333332
83,1,830,17,0.05,17.133333333333333
84,1,840,15,0.05,16.933333333333334
85,1,850,16,0.05,16.866666666666667
86,1,860,15,0.05,16.666666666666668
87,1,870,16,0.05,16.466666666666665
88,1,880,16,0.05,16.333333333333332
89,1,890,17,0.05,16.466666666666665
90,1,900,13,0.05,16.266666666666666
91,1,910,17,0.05,16.133333333333333
92,1,920,20,0.05,16.4
93,1,930,17,0.05,16.333333333333332
94,1,940,15,0.05,16.266666666666666
95,1,950,16,0.05,16.2
96,1,960,18,0.05,16.4
97,1,970,17,0.05,16.333333333333332
98,1,980,16,0.05,16.266666666666666
99,1,990,14,0.05,16.2
100,1,1000,16,0.05,16.2
101,1,1010,17,0.05,16.333333333333332
102,1,1020,17,0.05,16.4
103,1,1030,18,0.05,16.533333333333335
104,1,1040,18,0.05,16.6
105,1,1050,15,0.05,16.733333333333334
106,1,1060,19,0.05,16.866666666666667
107,1,1070,15,0.05,16.533333333333335
108,1,1080,20,0.05,16.733333333333334
109,1,1090,15,0.05,16.733333333333334
110,1,1100,16,0.05,16.733333333333334
111,1,1110,16,0.05,16.6
112,1,1120,60,0.05,19.466666666666665
113,1,1130,16,0.05,19.466666666666665
114,1,1140,14,0.05,19.466666666666665
115,1,1150,86,0.05,24.133333333333333
116,1,1160,16,0.05,24.066666666666666
117,1,1170,18,0.05,24.133333333333333
118,1,1180,19,0.05,24.2
119,1,1190,17,0.05,24.133333333333333
120,1,1200,16,0.05,24.2
121,1,1210,17,0.05,24.066666666666666
122,1,1220,18,0.05,24.266666666666666
123,1,1230,16,0.05,24.0
124,1,1240,16,0.05,24.066666666666666
125,1,1250,19,0.05,24.266666666666666
126,1,1260,201,0.05,36.6
127,1,1270,18,0.05,33.8
128,1,1280,20,0.05,34.06666666666667
129,1,1290,18,0.05,34.333333333333336
130,1,1300,14,0.05,29.533333333333335
131,1,1310,17,0.05,29.6
132,1,1320,17,0.05,29.533333333333335
133,1,1330,17,0.05,29.4
134,1,1340,15,0.05,29.266666666666666
135,1,1350,18,0.05,29.4
136,1,1360,16,0.05,29.333333333333332
137,1,1370,17,0.05,29.266666666666666
138,1,1380,16,0.05,29.266666666666666
139,1,1390,16,0.05,29.266666666666666
140,1,1400,19,0.05,29.266666666666666
141,1,1410,201,0.05,29.266666666666666
142,1,1420,15,0.05,29.066666666666666
143,1,1430,15,0.05,28.733333333333334
144,1,1440,18,0.05,28.733333333333334
145,1,1450,16,0.05,28.866666666666667
146,1,1460,56,0.05,31.466666666666665
147,1,1470,18,0.05,31.533333333333335
148,1,1480,17,0.05,31.533333333333335
149,1,1490,18,0.05,31.733333333333334
150,1,1500,18,0.05,31.733333333333334
151,1,1510,18,0.05,31.866666666666667
152,1,1520,16,0.05,31.8
153,1,1530,15,0.05,31.733333333333334
154,1,1540,15,0.05,31.666666666666668
155,1,1550,18,0.05,31.6
156,1,1560,17,0.05,19.333333333333332
157,1,1570,16,0.05,19.4
158,1,1580,20,0.05,19.733333333333334
159,1,1590,19,0.05,19.8
160,1,1600,16,0.05,19.8
161,1,1610,17,0.05,17.2
162,1,1620,15,0.05,17.0
163,1,1630,14,0.05,16.8
164,1,1640,15,0.05,16.6
165,1,1650,37,0.05,17.866666666666667
166,1,1660,16,0.05,17.733333333333334
167,1,1670,17,0.05,17.8
168,1,1680,17,0.05,17.933333333333334
169,1,1690,15,0.05,17.933333333333334
170,1,1700,16,0.05,17.8
171,1,1710,201,0.05,30.066666666666666
172,1,1720,18,0.05,30.2
173,1,1730,16,0.05,29.933333333333334
174,1,1740,15,0.05,29.666666666666668
175,1,1750,18,0.05,29.8
176,1,1760,17,0.05,29.8
177,1,1770,17,0.05,29.933333333333334
178,1,1780,18,0.05,30.2
179,1,1790,16,0.05,30.266666666666666
180,1,1800,14,0.05,28.733333333333334
181,1,1810,17,0.05,28.8
182,1,1820,65,0.05,32.0
183,1,1830,18,0.05,32.06666666666667
184,1,1840,18,0.05,32.266666666666666
185,1,1850,14,0.05,32.13333333333333
186,1,1860,18,0.05,19.933333333333334
187,1,1870,16,0.05,19.8
188,1,1880,15,0.05,19.733333333333334
189,1,1890,17,0.05,19.866666666666667
190,1,1900,17,0.05,19.8
191,1,1910,18,0.05,19.866666666666667
192,1,1920,16,0.05,19.8
193,1,1930,17,0.05,19.733333333333334
194,1,1940,16,0.05,19.733333333333334
195,1,1950,18,0.05,20.0
196,1,1960,16,0.05,19.933333333333334
197,1,1970,16,0.05,16.666666666666668
198,1,1980,17,0.05,16.6
199,1,1990,16,0.05,16.466666666666665
200,1,2000,18,0.05,16.733333333333334
201,9,0,58,0.05,58.0
202,9,10,88,0.05,73.0
203,9,20,51,0.05,65.66666666666667
204,9,30,39,0.05,59.0
205,9,40,51,0.05,57.4
206,9,50,41,0.05,54.666666666666664
207,9,60,34,0.05,51.714285714285715
208,9,70,34,0.05,49.5
209,9,80,29,0.05,47.22222222222222
210,9,90,27,0.05,45.2
211,9,100,29,0.05,43.72727272727273
212,9,110,25,0.05,42.166666666666664
213,9,120,23,0.05,40.69230769230769
214,9,130,22,0.05,39.357142857142854
215,9,140,23,0.05,38.266666666666666
216,9,150,23,0.05,35.93333333333333
217,9,160,22,0.05,31.533333333333335
218,9,170,23,0.05,29.666666666666668
219,9,180,201,0.05,40.46666666666667
220,9,190,22,0.05,38.53333333333333
221,9,200,20,0.05,37.13333333333333
222,9,210,20,0.05,36.2
223,9,220,20,0.05,35.266666666666666
224,9,230,22,0.05,34.8
225,9,240,17,0.05,34.13333333333333
226,9,250,22,0.05,33.666666666666664
227,9,260,19,0.05,33.266666666666666
228,9,270,16,0.05,32.8
229,9,280,23,0.05,32.86666666666667
230,9,290,21,0.05,32.733333333333334
231,9,300,21,0.05,32.6
232,9,310,19,0.05,32.4
233,9,320,19,0.05,32.13333333333333
234,9,330,20,0.05,20.066666666666666
235,9,340,18,0.05,19.8
236,9,350,19,0.05,19.733333333333334
237,9,360,21,0.05,19.8
238,9,370,19,0.05,19.733333333333334
239,9,380,20,0.05,19.6
240,9,390,19,0.05,19.733333333333334
241,9,400,21,0.05,19.666666666666668
242,9,410,18,0.05,19.6
243,9,420,20,0.05,19.866666666666667
244,9,430,18,0.05,19.533333333333335
245,9,440,22,0.05,19.6
246,9,450,18,0.05,19.4
247,9,460,20,0.05,19.466666666666665
248,9,470,17,0.05,19.333333333333332
249,9,480,19,0.05,19.266666666666666
250,9,490,201,0.05,31.466666666666665
251,9,500,17,0.05,31.333333333333332
252,9,510,20,0.05,31.266666666666666
253,9,520,17,0.05,31.133333333333333
254,9,530,20,0.05,31.133333333333333
255,9,540,19,0.05,31.133333333333333
256,9,550,18,0.05,30.933333333333334
257,9,560,18,0.05,30.933333333333334
258,9,570,16,0.05,30.666666666666668
259,9,580,19,0.05,30.733333333333334
260,9,590,201,0.05,42.666666666666664
261,9,600,18,0.05,42.666666666666664
262,9,610,18,0.05,42.53333333333333
263,9,620,21,0.05,42.8
264,9,630,201,0.05,54.93333333333333
265,9,640,19,0.05,42.8
266,9,650,17,0.05,42.8
267,9,660,17,0.05,42.6
268,9,670,201,0.05,54.86666666666667
269,9,680,20,0.05,54.86666666666667
270,9,690,20,0.05,54.93333333333333
271,9,700,20,0.05,55.06666666666667
272,9,710,17,0.05,55.0
273,9,720,17,0.05,55.06666666666667
274,9,730,16,0.05,54.86666666666667
275,9,740,20,0.05,42.8
276,9,750,20,0.05,42.93333333333333
277,9,760,16,0.05,42.8
278,9,770,17,0.05,42.53333333333333
279,9,780,21,0.05,30.533333333333335
280,9,790,18,0.05,30.466666666666665
281,9,800,18,0.05,30.533333333333335
282,9,810,17,0.05,30.533333333333335
283,9,820,18,0.05,18.333333333333332
284,9,830,20,0.05,18.333333333333332
285,9,840,201,0.05,30.4
286,9,850,20,0.05,30.4
287,9,860,21,0.05,30.666666666666668
288,9,870,18,0.05,30.733333333333334
289,9,880,18,0.05,30.866666666666667
290,9,890,18,0.05,30.733333333333334
291,9,900,15,0.05,30.4
292,9,910,16,0.05,30.4
293,9,920,21,0.05,30.666666666666668
294,9,930,19,0.05,30.533333333333335
295,9,940,17,0.05,30.466666666666665
296,9,950,18,0.05,30.466666666666665
297,9,960,16,0.05,30.4
298,9,970,18,0.05,30.4
299,9,980,17,0.05,30.2
300,9,990,16,0.05,17.866666666666667
301,9,1000,18,0.05,17.733333333333334
302,9,1010,19,0.05,17.6
303,9,1020,16,0.05,17.466666666666665
304,9,1030,17,0.05,17.4
305,9,1040,23,0.05,17.733333333333334
306,9,1050,20,0.05,18.066666666666666
307,9,1060,19,0.05,18.266666666666666
308,9,1070,18,0.05,18.066666666666666
309,9,1080,16,0.05,17.866666666666667
310,9,1090,18,0.05,17.933333333333334
311,9,1100,19,0.05,18.0
312,9,1110,19,0.05,18.2
313,9,1120,16,0.05,18.066666666666666
314,9,1130,201,0.05,30.333333333333332
315,9,1140,18,0.05,30.466666666666665
316,9,1150,201,0.05,42.666666666666664
317,9,1160,19,0.05,42.666666666666664
318,9,1170,29,0.05,43.53333333333333
319,9,1180,18,0.05,43.6
