,Step,rank0,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank6,rank9
0,0,201,201,201,38,201,116,201,110,201,58
1,1,201,151,201,56,201,121,201,137,201,81
2,2,201,201,201,44,201,126,201,142,201,92
3,3,201,201,201,60,201,117,201,176,201,107
4,4,201,201,201,35,201,88,201,137,201,101
5,5,201,201,201,84,201,67,201,106,201,93
6,6,201,201,201,42,201,146,201,111,201,61
7,7,201,201,201,39,201,67,201,196,201,83
8,8,201,201,201,65,201,126,201,120,201,60
9,9,201,201,201,57,201,77,201,130,201,98
10,10,201,192,201,34,201,97,201,160,201,150
11,11,201,201,201,53,201,88,201,99,201,65
12,12,201,201,201,50,201,87,201,82,201,89
13,13,201,201,201,48,201,126,201,112,201,74
14,14,201,93,201,41,201,108,201,172,201,83
15,15,201,201,201,52,201,99,201,129,201,99
16,16,201,122,201,77,201,143,201,104,201,63
17,17,201,145,201,46,201,118,201,106,201,77
18,18,201,201,201,44,201,141,201,114,201,62
19,19,201,201,201,36,201,79,201,88,201,76
20,20,201,201,201,49,201,82,201,85,201,83
21,21,201,201,201,44,201,92,201,107,201,76
22,22,201,201,201,34,201,92,201,84,201,54
23,23,201,201,201,52,201,96,201,191,201,83
24,24,201,201,201,36,201,103,201,110,201,57
25,25,201,201,201,41,201,88,201,118,201,66
26,26,201,201,201,37,201,83,201,115,201,85
27,27,201,201,201,48,201,73,201,201,201,110
28,28,201,200,201,54,201,144,201,118,201,70
29,29,201,183,201,46,201,90,201,102,201,93
30,30,201,201,201,60,201,133,201,153,201,83
31,31,201,201,201,37,201,76,201,164,201,60
32,32,201,201,201,38,201,73,201,73,201,76
33,33,201,201,201,49,201,82,201,71,201,98
34,34,201,201,201,41,201,57,201,101,201,76
35,35,201,201,201,69,201,75,201,107,201,64
36,36,201,201,201,68,201,90,201,106,201,81
37,37,201,201,201,37,201,58,201,146,201,73
38,38,201,201,201,36,201,82,201,76,201,83
39,39,201,201,201,40,201,105,201,83,201,83
40,40,201,201,201,44,201,70,201,171,201,52
41,41,201,201,201,36,201,96,201,110,201,67
42,42,201,201,201,86,201,77,201,68,201,52
43,43,201,178,201,31,201,88,201,132,201,72
44,44,201,201,201,33,201,80,201,95,201,84
45,45,201,115,201,64,201,68,201,68,201,67
46,46,201,201,201,48,201,89,201,133,201,69
47,47,201,201,201,47,201,100,201,79,201,78
48,48,201,201,201,37,201,93,201,84,201,71
49,49,201,201,201,37,201,86,201,124,201,60
50,50,201,157,201,44,201,55,201,93,201,55
51,51,201,201,201,35,201,70,201,72,201,57
52,52,201,201,201,73,201,84,201,75,201,64
53,53,201,125,201,33,201,63,201,99,201,52
54,54,201,201,201,38,201,64,201,76,201,67
55,55,201,201,201,46,201,69,201,175,201,46
56,56,201,201,201,49,201,66,201,97,201,63
57,57,201,176,201,41,201,78,201,126,201,57
58,58,201,201,201,55,201,57,201,105,201,91
59,59,201,166,201,37,201,60,201,67,201,76
60,60,201,201,201,32,201,107,201,108,201,56
61,61,201,63,201,38,201,62,201,101,201,72
62,62,201,141,201,34,201,67,201,95,201,64
63,63,201,201,201,35,201,115,201,102,201,54
64,64,201,201,201,34,201,75,201,59,201,58
65,65,201,99,201,34,201,56,201,62,201,45
66,66,201,201,201,44,201,70,201,201,201,64
67,67,201,182,201,38,201,60,201,94,201,58
68,68,201,88,201,34,201,79,201,87,201,47
69,69,201,201,201,36,201,87,201,61,201,49
70,70,201,170,201,35,201,64,201,86,201,53
71,71,201,201,201,32,201,118,201,151,201,52
72,72,201,187,201,33,201,83,201,86,201,44
73,73,201,201,201,35,201,78,201,103,201,69
74,74,201,201,201,36,201,64,201,157,201,64
75,75,201,129,201,40,201,97,201,77,201,62
76,76,201,111,201,33,201,65,201,66,201,70
77,77,201,201,201,34,201,81,201,101,201,54
78,78,201,150,201,30,201,82,201,151,201,67
79,79,201,193,201,33,201,70,201,67,201,68
80,80,201,201,201,35,201,81,201,99,201,52
81,81,201,46,201,31,201,54,201,112,201,66
82,82,201,173,201,33,201,72,201,84,201,69
83,83,201,169,201,39,201,65,201,73,201,54
84,84,201,201,201,38,201,66,201,85,201,72
85,85,201,201,201,35,201,70,201,79,201,44
86,86,201,78,201,31,201,76,201,93,201,50
87,87,201,160,201,46,201,73,201,65,201,54
88,88,201,92,201,29,201,53,201,67,201,89
89,89,201,180,201,35,201,74,201,65,201,47
90,90,201,201,201,35,201,70,201,79,201,50
91,91,201,116,201,38,201,65,201,70,201,44
92,92,201,201,201,45,201,71,201,73,201,72
93,93,201,43,201,29,201,66,201,105,201,58
94,94,201,198,201,29,201,60,201,94,201,56
95,95,201,166,201,31,201,103,201,82,201,53
96,96,201,112,201,41,201,48,201,87,201,60
97,97,201,95,201,36,201,63,201,104,201,57
98,98,201,89,201,33,201,67,201,88,201,48
99,99,201,87,201,33,201,79,201,70,201,53
100,100,201,162,201,35,201,56,201,81,201,69
101,101,201,89,201,35,201,62,201,109,201,63
102,102,201,47,201,32,201,84,201,73,201,54
103,103,201,49,201,39,201,72,201,72,201,68
104,104,201,53,201,43,201,61,201,75,201,47
105,105,201,76,201,34,201,49,201,80,201,90
106,106,201,37,201,32,201,64,201,79,201,59
107,107,201,201,201,30,201,54,201,52,201,50
108,108,201,82,201,30,201,71,201,64,201,62
109,109,201,113,201,35,201,75,201,63,201,45
110,110,201,81,201,30,201,73,201,43,201,73
111,111,201,77,201,34,201,73,201,89,201,57
112,112,201,97,201,27,201,52,201,77,201,44
113,113,201,101,201,38,201,71,201,65,201,44
114,114,201,161,201,32,201,52,201,114,201,66
115,115,201,107,201,25,201,64,201,59,201,52
116,116,201,90,201,31,201,49,201,63,201,57
117,117,201,62,201,34,201,65,201,71,201,53
118,118,201,170,201,27,201,53,201,70,201,62
119,119,201,55,201,33,201,65,201,50,201,44
120,120,201,67,201,28,201,59,201,68,201,62
121,121,201,201,201,33,201,59,201,50,201,43
122,122,201,122,201,29,201,52,201,163,201,40
